DateTime,ACMV.L1.AHU.ARU.1.RAT,ACMV.L1.AHU.ARU.1.RAT_SETPOINT,ACMV.L1.AHU.ARU.1.SAT,ACMV.L1.AHU.ARU.1.VALVE_CMD,ACMV.L1.AHU.ARU.1.VALVE_POS
10/1/2020 14:00:00,21.815962,22,15.127756,60.266193,61.422741
10/1/2020 14:10:00,21.840199,22,15.127756,60.266193,62.013329
10/1/2020 14:20:00,21.840199,22,15.153131,60.26498,61.718021
10/1/2020 14:30:00,21.840199,22,15.178483,60.26498,61.324299
10/1/2020 14:40:00,21.864408,22,15.153131,60.26498,61.422741
10/1/2020 14:50:00,21.912754,22,15.229093,60.26498,61.422741
10/1/2020 15:00:00,21.912754,22,15.279568,60.26498,61.22588
10/1/2020 15:10:00,21.912754,22,15.254343,60.26498,61.324299
10/1/2020 15:20:00,21.93688,22,15.254343,60.263767,61.22588
10/1/2020 15:30:00,21.985064,22,15.304762,60.263767,62.013329
10/1/2020 15:40:00,22.035341,22,15.455216,60.263767,61.324299
10/1/2020 15:50:00,22.009718,22,15.430223,60.263767,61.914886
10/1/2020 16:00:00,21.985064,22,15.355036,60.263767,61.619598
10/1/2020 16:10:00,21.985064,22,15.304762,60.263767,61.324299
10/1/2020 16:20:00,22.035341,22,15.254343,60.263767,61.422741
10/1/2020 16:30:00,22.035341,22,15.279568,60.263767,61.52116
10/1/2020 16:40:00,22.112055,22,15.355036,60.263767,61.422741
10/1/2020 16:50:00,22.112055,22,15.405197,60.263767,61.52116
10/1/2020 17:00:00,22.112055,22,15.455216,60.263767,61.52116
10/1/2020 17:10:00,22.667068,22,17.094179,0,29.530972
10/1/2020 17:20:00,22.890352,22,18.68461,0,29.530972
10/1/2020 17:30:00,23.320549,22,20.044638,0,29.530972
10/1/2020 17:40:00,23.623138,22,20.976376,0,29.530972
10/1/2020 17:50:00,23.797886,22,21.57214,0,29.530972
10/1/2020 18:00:00,24.457136,22,22.3407,0,29.334116
10/1/2020 18:10:00,24.583746,22,22.791382,0,29.432547
10/1/2020 18:20:00,24.784983,22,23.244307,0,29.432547
10/1/2020 18:30:00,25.060772,22,23.623138,0,29.432547
10/1/2020 18:40:00,25.264076,22,23.921923,0,29.432547
10/1/2020 18:50:00,25.365112,22,24.201927,0,29.432547
10/1/2020 19:00:00,25.54093,22,24.35537,0,29.530972
10/1/2020 19:10:00,25.590939,22,24.634216,0,29.530972
10/1/2020 19:20:00,25.615904,22,24.784983,0,29.432547
10/1/2020 19:30:00,25.615904,22,24.909924,0,29.432547
10/1/2020 19:40:00,25.565943,22,25.009689,0,29.72784
10/1/2020 19:50:00,25.565943,22,25.086273,0,29.432547
10/1/2020 20:00:00,25.590939,22,25.137207,0,29.432547
10/1/2020 20:10:00,25.640842,22,25.188032,0,29.334116
10/1/2020 20:20:00,25.665756,22,25.289373,0,29.530972
10/1/2020 20:30:00,25.615904,22,25.289373,0,29.530972
10/1/2020 20:40:00,25.615904,22,25.314644,0,29.432547
10/1/2020 20:50:00,25.590939,22,25.339886,0,29.334116
10/1/2020 21:00:00,25.640842,22,25.415476,0,29.530972
10/1/2020 21:10:00,25.590939,22,25.465729,0,29.530972
10/1/2020 21:20:00,25.590939,22,25.49082,0,29.530972
10/1/2020 21:30:00,25.640842,22,25.465729,0,29.334116
10/1/2020 21:40:00,25.640842,22,25.415476,0,29.432547
10/1/2020 21:50:00,25.615904,22,25.465729,0,29.432547
10/1/2020 22:00:00,25.590939,23,25.440617,0,29.432547
10/1/2020 22:10:00,25.565943,23,25.465729,0,29.530972
10/1/2020 22:20:00,25.615904,23,25.51589,0,29.334116
10/1/2020 22:30:00,25.565943,23,25.465729,0,29.530972
10/1/2020 22:40:00,25.54093,23,25.440617,0,29.62941
10/1/2020 22:50:00,25.590939,23,25.49082,0,29.530972
10/1/2020 23:00:00,25.615904,23,25.465729,0,29.62941
10/1/2020 23:10:00,25.51589,23,25.51589,0,29.530972
10/1/2020 23:20:00,25.590939,23,25.49082,0,29.530972
10/1/2020 23:30:00,25.565943,23,25.51589,0,29.530972
10/1/2020 23:40:00,25.615904,23,25.54093,0,29.530972
10/1/2020 23:50:00,25.590939,23,25.54093,0,29.62941
10/2/2020 00:00:00,25.615904,23,25.54093,0,29.432547
10/2/2020 00:10:00,25.590939,23,25.51589,0,29.530972
10/2/2020 00:20:00,25.590939,23,25.49082,0,29.432547
10/2/2020 00:30:00,25.640842,23,25.565943,0,29.432547
10/2/2020 00:40:00,25.640842,23,25.615904,0,29.23568
10/2/2020 00:50:00,25.690651,23,25.640842,0,29.530972
10/2/2020 01:00:00,25.640842,23,25.640842,0,29.62941
10/2/2020 01:10:00,25.640842,23,25.665756,0,29.432547
10/2/2020 01:20:00,25.665756,23,25.640842,0,29.432547
10/2/2020 01:30:00,25.665756,23,25.640842,0,29.530972
10/2/2020 01:40:00,25.665756,23,25.640842,0,29.530972
10/2/2020 01:50:00,25.640842,23,25.640842,0,29.432547
10/2/2020 02:00:00,25.615904,23,25.590939,0,29.530972
10/2/2020 02:10:00,25.565943,23,25.565943,0,29.530972
10/2/2020 02:20:00,25.565943,23,25.54093,0,29.432547
